53.2	95
58.3	90
98.4	54
59.8	64
96.1	49
73.0    2
16.7	39
85.0    5
43.3	40
4.1	    57
91.8	36
97.9	13
19.1	14
16.6	0
33.3	58
21.4	2
45.6	98
76.7	68
36.7	90
54.9	91
56.0    39
59.9	69
89.0    26
3.1	    91
60.6	96
16.8	16
22.2	32
54.1	53
99.0    44
73.5	56
94.3	87
67.6	52
98.6	72
40.4	91
24.6	28
8.4	    12
85.9	72
55.7	75
62.1	80
92.1	44
17.6	83
19.3	69
45.1	8
13.2	7
95.1	34
92.8	77
90.4	71
32.9	61
40.8	73
56.8	65
44.5	18
30.3	17
96.5	88
29.2	88
18.9	99
59.0    99
31.9	73
75.4	94
95.2	65
81.4	70
11.9	50
40.5	55
19.0	47
6.90	57
23.1	2
41.5	80
88.1	42
65.1	96
47.7	78
18.6	44
47.8	79
70.2	14
17.8	66
93.7	63
25.7	76
48.5	34
62.6	38
86.2	98
47.1	23
19.4	52
96.2	12
2.10	70
76.6	39
20.7	29
70.2	72
74.0	9
43.2	70
44.3	36
73.6	63
31.8	42
87.2	0
20.1	39
84.7	52
85.4	38
88.5	5
87.4	91
10.2	96
48.2	67
50.7	74
85.3	87
70.6	41
15.7	68
99.0	71
45.1	66
36.4	47
88.1	14
84.0	4
64.5	34
27.2	15
90.7	25
77.8	63
99.8	92
45.0	67
79.2	73
89.1	16
28.9	21
92.7	77
89.4	80
79.7	55
74.0	60
10.8	38
27.5	54
61.3	31
55.9	27
52.7	17
80.4	5
44.7	41
94.3	72
28.8	72
74.3	81
78.9	20
42.4	96
57.8	45
13.4	71
29.6	75
63.3	18
5.60	86
97.1	77
50.9	55
67.7	50
67.3	68
91.6	32
7.20	75
84.1	42
94.8	58
12.6	79
17.1	46
54.5	20
96.9	60
68.1	79
84.7	76
78.3	90
99.3	51
24.9	52
41.8	18
99.1	28
27.0	55
9.80	18
77.5	27
75.8	55
62.5	80
88.5	13
90.7	50
29.0	22
75.3	15
14.7	19
42.8	9
23.8	67
37.4	1
29.8	90
54.1	17
94.1	5
44.3	71
73.3	83
54.3	85
83.1	8
3.20	70
20.2	80
26.1	99
9.50	52
99.7	52
25.6	13
99.8	0
27.6	92
69.0	36
54.7	93
95.4	57
86.1	30
93.1	35
94.0	39
72.7	62
20.4	73
61.7	11
80.8	9
61.3	72
44.0	78
7.70	60
90.5	57
47.4	19
17.9	5
85.5	84
83.0	90
59.6	80
37.3	2
50.4	0
48.8	7
52.5	33
75.3	79
86.8	93
12.5	26
49.7	82
68.7	87
61.1	20
17.8	87
72.4	74
61.7	79
46.5	48
33.7	81
19.4	32
21.4	69
56.4	73
97.2	71
22.5	75
35.6	55
47.3	21
64.8	54
1.00	67
97.1	72
33.1	10
45.8	57
93.2	96
35.7	99
93.9	57
48.9	70
37.9	88
61.4	66
41.3	87
59.9	35
6.30	16
62.0	47
28.8	18
63.9	36
1.10	31
67.8	31
80.6	63
42.8	3
39.9	99
63.5	8
38.9	53
11.2	50
27.8	48
19.1	8
30.1	4
19.6	89
11.7	81
86.1	6
22.6	52
33.9	91
10.6	18
16.2	14
59.0	88
46.9	68
72.4	33
22.7	50
86.8	2
84.2	26
5.90	64
72.4	10
55.8	63
77.3	51
4.60	0
85.9	81
24.4	8
51.7	56
7.20	8
5.80	29
79.8	92
5.70	87
44.8	75
8.70	25
33.7	27
1.90	56
37.8	42
96.0	19
33.8	59
49.1	57
49.0	92
94.1	52
40.0	68
57.8	86
1.60	56
37.7	93
71.1	25
36.2	45
96.6	17
4.40	52
21.9	71
37.7	51
30.5	98
74.0	39
42.6	36
0.70	75
13.1	81
91.0	53
0.70	96
82.7	78
98.4	46
17.5	25
96.8	71
70.7	79
59.5	62
17.0	66
67.3	68
78.3	94
53.3	76
33.2	19
39.9	3
34.5	17
28.5	12
44.4	99
98.7	63
8.50	42
31.5	58
77.2	28
1.30	7
1.20	42
50.1	34
77.7	8
79.8	34
89.6	9
44.1	19
93.4	70
19.8	86
7.00	44
97.1	38
60.8	13
12.9	43
72.7	76
10.2	97
76.8	71
4.50	57
42.8	15
13.2	47
94.6	51
7.50	53
2.00	74
30.4	52
16.1	41
14.5	65
63.3	48
26.3	18
11.8	9
78.0	30
47.6	61
91.1	89
47.2	78
82.0	71
29.0	59
17.8	26
76.8	58
53.8	86
9.40	15
8.20	41
78.4	3
19.5	4
34.2	62
29.4	83
43.3	97
20.5	11
62.2	10
16.5	14
74.3	50
99.3	57
42.1	73
58.2	19
27.4	52
28.4	7
80.2	81
71.8	27
41.5	73
7.80	6
12.2	59
10.6	92
61.3	62
61.9	48
75.0	44
16.1	43
40.3	11
98.6	47
93.8	58
58.3	55
4.90	42
72.2	17
64.1	85
67.0	70
13.8	15
64.2	9
0.70	59
2.50	84
4.30	38
43.9	83
95.9	98
35.7	69
90.1	67
96.3	62
49.8	37
17.6	80
11.8	22
43.7	94
35.5	82
75.0	17
51.3	22
14.3	87
49.9	85
52.1	81
45.2	52
67.9	40
60.5	46
62.2	9
18.5	2
95.8	31
25.0	9
2.00	61
55.4	47
83.7	87
17.8	46
44.6	63
76.1	76
28.3	50
68.8	19
71.5	37
75.9	92
42.3	79
47.3	72
40.9	9
7.20	94
43.7	82
11.2	87
58.1	41
66.0	12
86.9	30
95.1	5
74.4	51
1.90	60
32.9	19
24.2	92
70.2	64
70.2	95
66.3	68
38.0	56
13.1	71
65.1	74
26.1	85
55.1	48
55.0	65
88.0	21
92.3	17
99.9	79
20.0	30
87.3	99
97.5	15
93.8	94
35.9	95
5.50	24
